index,item_id,source,notes,location,value,inventory_date,title,series,type,date_year,medium,signatures_and_writing,condition,category,height,width,depth,size_notes,dimensions,file1,file2,file3,file4,file5,url1,url2,url3,url4,url5
2344,AT.P.3014,Aldo foundation,,,,07/25/2000,,,Painting,25/07/20,Duco and Graphite,,,Painting,27,22,,,,,,,,,,,,,
10024,AT.PH.0103,Gifted,,,,08/30/2000,, Videogram,,1968/1969,Videogram on photographic paper.,,,Photography,8,10,,,,,,,,,,,,,
10024,AT.PH.0093,Gifted,,,,08/30/2000,, Videogram,,1968/1969,Videogram on photographic paper.,,,Photography,8,10,,,,,,,,,,,,,
10024,AT.PH.0100,Gifted,,,,08/30/2000,, Videogram,,1968/1969,Videogram on photographic paper.,,,Photography,8,10,,,,,,,,,,,,,
2638,AT.A.0001,Gifted,"ZKM Exhibit
Portraits of Aldo and Electromedia
54 photographs",,,08/03/2016,Portraits of Aldo and Multimedia,,,,,,,Album,13,19,,,,,,,,,,,,,
2639,AT.A.0002,Gifted,"ZKM Exhibit
Portraits of Aldo and his sculpture",,,08/03/2016,Aldo in Studio Painting/Sculpture,,,,,,,Album,14,17,,,,,,,,,,,,,
2326,AT.B.0001,Aldo foundation,,Rack 16,,,,Box of 24 videograms,,ca. 1969,Videogram on photographic paper.,,,Videograms,10,8,,,,"remote:IMG_4150.JPG
size:3264,2448
JPEG:IMG_4150_8.jpg",,,,,https://firebasestorage.googleapis.com/v0/b/aldoproduction-a5f43.appspot.com/o/inventory%2FIMG_4150.jpg?alt=media&token=49207d5d-e305-4fc4-87e3-7a983ca584e7,,,,
2330,AT.B.0002,Aldo foundation,,,,,,"Box of assorted audio media: cassette, reel to reel, cd, etc",,,,,,,,,,,,"remote:IMG_4143.JPG
size:3264,2448
JPEG:IMG_4143_8.jpg",,,,,https://firebasestorage.googleapis.com/v0/b/aldoproduction-a5f43.appspot.com/o/inventory%2FIMG_4143.jpg?alt=media&token=fe1fce3a-fd21-4137-a83e-95d47ec47203,,,,
2331,AT.B.0003,Aldo foundation,,,,,,"Box of assorted video media: DVD, DV, VHS, etc.",,,,,,,,,,,,"remote:IMG_4144.JPG
size:3264,2448
JPEG:IMG_4144_8.jpg","remote:IMG_4145.JPG
size:3264,2448
JPEG:IMG_4145_8.jpg",,,,,,,,
2332,AT.B.0004,Aldo foundation,,,,,,Box of assorted Notebooks,,,,,,,,,,,,"remote:IMG_4132.JPG
size:3264,2448
JPEG:IMG_4132_8.jpg","remote:IMG_4133.JPG
size:3264,2448
JPEG:IMG_4133_8.jpg",,,,,,,,
