index,item_id,source,notes,location,value,inventory_date,title,series,type,date_year,medium,signatures_and_writing,condition,category,height,width,depth,size_note,dimensions,file1,file2,file3,file4,file5,url1,url2,url3,url4,url5
1,AT.P.0007,Aldo foundation,,Rack 2,,05/09/2013,,Destruction Series II ,,,graphite and wax on cardboard,"Recto: LR ""Aldo T 88""",,Painting,32,40,,,,,,,,,,,,,
2,AT.P.0008,Aldo foundation,,Rack 2,,05/09/2013,A-430, Black Energy Suspended Series,,,"acrylic, wax, graphite on architectural paper","Recto: LR ""Aldo Tambellini '89"" ",,Painting,30,42,,,,,,,,,,,,,
3,AT.P.0009,Aldo foundation,,Rack 3,,05/09/2013,L-1, Black Energy Suspended Series,,,acrylic and graphite on architectural paper,"Recto: LR ""Aldo Tambellini '89"" ",Frame chipped,Painting,30,42,,,,,,,,,,,,,
4,AT.P.0010,Aldo foundation,,Rack 3,,05/09/2013,,Destruction Series II ,,,graphite and wax on cardboard,"Recto: LR ""Aldo Tambellini '88""",,Painting,32,40,,,,,,,,,,,,,
5,AT.P.0013,Aldo foundation,,Rack 4,,05/09/2013,Black 4, Black Is Series,,,graphite and wax on cardboard,,,Painting,32,40,,,,,,,,,,,,,
6,AT.P.0014,Aldo foundation,,Rack 4,,05/09/2013,GA-500, Black Energy Suspended Series,,,acrylic on architectural paper,"Recto: LR ""Aldo Tambellini '89"" ",,Painting,30,42,,,,,,,,,,,,,
7,AT.P.0019,Aldo foundation,,Rack 5,,05/09/2013,AD-00, Black Energy Suspended Series,,,acrylic and graphite on architectural paper/ polaroid stapled to paper,"Recto: LR ""Aldo Tambellini '89"" ",,Painting,30,42,,,,,,,,,,,,,
8,AT.P.0020,Aldo foundation,,Rack 5,,05/09/2013,?(3), Destruction,,,graphite and wax on cardboard,"Recto: LR ""Aldo Tambellini 88""",,Painting,32,40,,,,,,,,,,,,,
9,AT.P.0023,Aldo foundation,,Rack 6,,05/09/2013,Untitled,,,,"duco, aryclic, and graphite on paper","LR: ""Aldo Tambellini 64""",,Painting,30,51,,,,,,,,,,,,,
10,AT.P.0024,Aldo foundation,,Rack 6,,05/09/2013,Eclipse 2,,,,"duco, aryclic, and graphite on paper","LR: ""Aldo Tambellini 64""",,Painting,30,75,,,,,,,,,,,,,
11,AT.P.0026,Aldo foundation,,Rack 7,,05/09/2013,Black Energy 3, Black Energy Burns with Fire,,,Duco and acrylic on cardboard,"LR: ""Aldo Tambellini '62""",,Painting,30,40,,,,,,,,,,,,,
12,AT.P.0027,Aldo foundation,,Rack 7,,05/09/2013,Untitled,,,?,Duco and acrylic on masonite,"Verso: ""A. Tambelllini top""",,Painting,45,35,,,,,,,,,,,,,
13,AT.P.0028,Aldo foundation,,Rack 6,,05/09/2013,Untitled,,,,Duco and acrylic on masonite,"LC: ""A.Tambellini""",,Painting,45,35,,,,,,,,,,,,,
14,AT.P.0030,Aldo foundation,,Rack 7,,05/09/2013,,Destruction Series II ,,,graphite and wax on cardboard,"LR: ""Aldo Tambellini 88""",,Painting,20,30,,,,,,,,,,,,,
15,AT.P.0031,Aldo foundation,,Rack 7,,05/09/2013,Destruction, Destruction II Series,,,graphite and wax on cardboard,"LR: ""Aldo Tambellini 89""",,Painting,32,40,,,,,,,,,,,,,
16,AT.P.0035,Aldo foundation,,Rack 7,,05/09/2013,B ? , Suspended,,,acrylic and graphite on architectural paper,"LR: ""Aldo Tambellini '89""",Frame damage,Painting,30,42,,,,,,,,,,,,,
17,AT.P.0037,Aldo foundation,,Rack 7,,05/09/2013,BS-1, Black Space Series,,ca. 1961-62,Duco  and sand on paper,,,Painting,26,,,,,"remote:AT.P.37.jpg
size:1632,1224
JPEG:AT.P.37_8.jpg",,,,,,,,,
18,AT.P.0039,Aldo foundation,,Rack 7,,05/09/2013,Silent Series I,Silent Series,,,Duco and graphite on paper,"Verso: UL: ""June 1964"" UC: Silence I Top"" / UR: ""Top Aldo Tambellini 414 West Broadway, NYC"" LR: ""Aldo Tambellini There is a need for more people like you""",,Painting,29,32,,,,"remote:AT.P.39.jpg
size:1632,1224
JPEG:AT.P.39_8.jpg",,,,,,,,,
19,AT.P.0040,Aldo foundation,,Rack 7,,05/09/2013,Silent Series II,Silent Series,,ca. 1964,Duco on paper on Masonite,"Verso: UC: ""Aldo Tambellini / 1009 - 1010""",,Painting,29,32,,,,"remote:AT.P.40.jpg
size:1632,1224
JPEG:AT.P.40_8.jpg",,,,,,,,,
20,AT.P.0041,Aldo foundation,,Rack 7,,05/09/2013,Silent Series III,Silent Series,,ca. 1964,Duco on paper on Masonite,,,Painting,29,32,,,,"remote:AT.P.41.jpg
size:1632,1224
JPEG:AT.P.41_8.jpg",,,,,,,,,
21,AT.P.0043,Aldo foundation,,Rack 7,,05/09/2013,BS-2, Black Space Series,,ca. 1961-62,Duco and sand on paper,,,Painting,26,,,,,"remote:IMG_3402.JPG
size:320,240
JPEG:IMG_3402_8.jpg",,,,,,,,,
22,AT.P.0042,Aldo foundation,,Rack 7,,05/09/2013,BS-4, Black Space Series,,ca. 1961-62,"Duco, acrylic, and sand on paper",,,Painting,26,,,,,"remote:AT.P.43.jpg
size:1632,1224
JPEG:AT.P.43_8.jpg",,,,,,,,,
23,AT.P.0044,Aldo foundation,,Rack 7,,05/09/2013,Untitled,,,ca. 1961-62,Duco on paper,,,Painting,32,29,,,,"remote:AT.P.44.jpg
size:1224,1632
JPEG:AT.P.44_8.jpg",,,,,,,,,
24,AT.P.0047,Aldo foundation,,Rack 7,,05/16/2013,BS-3, Black Space Series,,ca. 1961-62,Duco and sand on paper,,,Painting,26,,,,,"remote:IMG_3401.JPG
size:320,240
JPEG:IMG_3401_8.jpg",,,,,,,,,
25,AT.P.0048,Aldo foundation,,Rack 8,,05/16/2013,BS-5, Black Space Series,,ca. 1961-62,Duco  and sand on paper,,,Painting,26,,,,,"remote:AT.P.48.jpg
size:1632,1224
JPEG:AT.P.48_8.jpg",,,,,,,,,
