index,item_id,source,notes,location,value,inventory_date,title,series,date_year,medium,signature_and_writing,condition,category,height,width,depth,size_note,file1,file2,file3,file4,file5
1,AT.P.3014,Aldo foundation,,,,2000-07-25,,,25/07/20,Duco and Graphite,,,Painting,27.0,22.0,,,AT.P.3014.jpg,,,,
2,AT.PH.0103,Gifted,,,,2000-08-30,, Videogram,1968/1969,Videogram on photographic paper.,,,Photography,8.0,10.0,,,AT.PH.0103.jpg,,,,
3,AT.PH.0093,Gifted,,,,2000-08-30,, Videogram,1968/1969,Videogram on photographic paper.,,,Photography,8.0,10.0,,,AT.PH.0093.jpg,,,,
4,AT.PH.0100,Gifted,,,,2000-08-30,, Videogram,1968/1969,Videogram on photographic paper.,,,Photography,8.0,10.0,,,AT.PH.0100.jpg,,,,
5,AT.A.0001,Gifted,"ZKM Exhibit
Portraits of Aldo and Electromedia
54 photographs",,,2016-08-03,Portraits of Aldo and Multimedia,,,,,,Album,13.0,19.0,,,,,,,
6,AT.A.0002,Gifted,"ZKM Exhibit
Portraits of Aldo and his sculpture",,,2016-08-03,Aldo in Studio Painting/Sculpture,,,,,,Album,14.0,17.0,,,,,,,
7,AT.B.0001,Aldo foundation,,Rack 16,,,,Box of 24 videograms,ca. 1969,Videogram on photographic paper.,,,Videograms,10.0,8.0,,,IMG_4150.JPG,,,,
8,AT.B.0002,Aldo foundation,,,,,,"Box of assorted audio media: cassette, reel to reel, cd, etc",,,,,,,,,,IMG_4143.JPG,,,,
9,AT.B.0003,Aldo foundation,,,,,,"Box of assorted video media: DVD, DV, VHS, etc.",,,,,,,,,,IMG_4144.JPG,IMG_4145.JPG,,,
10,AT.B.0004,Aldo foundation,,,,,,Box of assorted Notebooks,,,,,,,,,,IMG_4132.JPG,IMG_4133.JPG,,,
11,AT.B.0005,Aldo foundation,,,,,,Box of assorted portfolios,,,,,,,,,,IMG_4141.JPG,IMG_4142.JPG,,,
12,AT.B.0006,Aldo foundation,,,,,,Group of 5 plastic bins containing photographs,,,,,,,,,,IMG_4147.JPG,,,,
13,AT.B.0007,Aldo foundation,,,,,,"Shelf containing assorted boxes of photographes, framed and loose photographs",,,,,,,,,,IMG_4146.JPG,,,,
14,AT.B.0008,Aldo foundation,,,,,,Shelf containing 00 assorted boxes of poetry,,,,,,,,,,IMG_4148.JPG,,,,
15,AT.B.0009,Aldo foundation,,,,,,Box containing visual poems,,,,,,,,,,IMG_4149.JPG,,,,
16,AT.B.0010,Aldo foundation,,,,,,Box containing photocopies of visual poems,,,,,,,,,,IMG_4151.JPG,,,,
17,AT.B.0011,Aldo foundation,,,,,,Box containing assorted Juvenalia/Early works,,,,,,,,,,IMG_4152.JPG,IMG_4153.JPG,,,
18,AT.B.0012,Aldo foundation,,,,,,"Shelf containing 12 boxes of misc. flyers, catalogs, assorted exhibition ephemera",,,,,,,,,,IMG_4177.JPG,,,,
19,AT.B.0013,Aldo foundation,,,,,,Shelf containing 11 boxes of MIT materials and assorted writings,,,,,,,,,,IMG_4178.JPG,,,,
20,AT.B.0014,Aldo foundation,,,,,,Shelf containing boxes of Sarah's material and assorted audio-visual  media,,,,,,,,,,IMG_4179.JPG,,,,
21,AT.D.0001,Gifted,Gifted to Paul Tambellini,Shipping box 2,4000,2017-04-12,,Masters Drawings,,graphite on paper,Gifted to Paul Tambellini,,,10.75,13.75,,,IMG_3815.JPG,,,,
22,AT.D.0002,Gifted,Gifted to Paul Tambellini,Shipping box 2,4000,2017-04-12,,Masters Drawings,,"sketchpad, graphite on paper",Gifted to Paul Tambellini,,,18.0,12.0,,,IMG_3816.JPG,,,,
23,AT.E.0001,Aldo foundation,"Artist-Aldo Tambellini
Poet-Ishamel Reed
Poet-Norman Pritchard
Dancer- Carla Blank","International House, Columbia University",,2015-12-02,BLACK,Performance,01/06/1965,"lumagrams, poetry, dance","It was initially described as “a dramatic integration of Light Poetics and dance.”  The poetics were provided by two of the Umbra Poets from the Lower East Side.  The light was provided by the projection of the large paintings in space called “Lumagrams.” 
",,Electromedia,,,,,,,,,
24,AT.E.0002,Aldo foundation,"Artist-Aldo Tambellini
Poet-Ishamel Reed
Poet-Norman Pritchard
Dancer- Carla Blank",The Bridge Theater,,2015-12-02,BLACK,Performance,03/21/1965,"lumagrams, poetry, dance","“This performance (the Bridge Theater) added a dancer to the previous Black which had “Lumagram” projections and poetry reading.  Carla Blank, dancer, covered the lobby floor of the Bridge Theatre with newspaper.  I projected on Carla and the floor from above.  The audience followed the dancer into the theatre where the second part of the program began with projections of large slides and the poets reciting their works.  “The possibilities of black in experience:  poetry, dance, projected paintings.  Black is space.  Black is sound.  Black is darkness.  Black is anger.  Black is void.  Black is.”
A.T. The Bridge Theatre Program.1965",,Electromedia,,,,,,,,,
25,AT.E.0003,Aldo foundation,,The Bridge Theater,,2015-12-02,BLACK,Performance,03/22/1965,"lumagrms, poetry, dance","“This performance (the Bridge Theater) added a dancer to the previous Black which had “Lumagram” projections and poetry reading.  Carla Blank, dancer, covered the lobby floor of the Bridge Theatre with newspaper.  I projected on Carla and the floor from above.  The audience followed the dancer into the theatre where the second part of the program began with projections of large slides and the poets reciting their works.  “The possibilities of black in experience:  poetry, dance, projected paintings.  Black is space.  Black is sound.  Black is darkness.  Black is anger.  Black is void.  Black is.”
A.T. The Bridge Theatre Program.1965",,Electromedia,,,,,,,,,
26,AT.E.0004,Aldo foundation,,The Bridge Thater,,2015-12-02,BLACK,Performance,03/21/1965,"lumgrams,poetry,dance",,,,,,,,,,,,
27,AT.E.0005,Aldo foundation,,International House,,2015-12-02,BLACK,Performance,01/06/1965,"umagrams, poetry, dance",,,Electromedia,,,,,"Untitled.pdf
size:337,478
JPEG:Untitled_42.jpg",,,,
28,AT.E.0006,Aldo foundation,,International House,,2015-12-02,BLACK,Performance,01/06/1965,"umagrams, poetry, dance",,,Electromedia,,,,,black_poster.jpg,,,,
29,AT.E.0009,Aldo foundation,"Artist-Aldo Tambellini
Artist-Benn Morea
Artist-Elsa Tambellini
Dance-Lorraine Boyd
Poet-Calvin C. Hernton
Bass-Cecil McBee
Composer-Carlos d’Alessio
",The Bridge Theater,,2015-12-02,BLACK 2,Performances,06/07/1965,"lumagrams, bass, poetry, dance","Black 2 was an attempt to enrich the theatrical experience with the impact of other fields of art.  It is the study of Sound, Light, and Motion.  This performance is believed to be the first attempt to combine the visual arts, dance, music, projections, poetry and various sounds, to affect and involve the audience’s total senses….and sense of social commitment.
	Black 2 is an abstract concept of a social message.  It is not a play, It is not a “Happening”.  It is the fusion of different arts.  It is the bombardment of the senses. I describe it as a “Centerfuge:  
The dimensions of sound, light and motion brought into organic form; the working together of several talents express  the idiom of the contemporary scene; the fusion of abstract and social commitment.
	Black 2 brings together several modalities:  film and projectors, live sound, tape recorders, a dancer, a social poet, a musician, black spaces, live machines, mike techniques a lantern and “lumagrams.”  Lumagrams are what I called my hand painted slides which are used as projected images.
     A.T Performance notes, 1965",,Electromedia,,,,,,,,,
30,AT.E.0010,Aldo foundation,"Artist-Aldo Tambellini
	Artist-Benn Morea
	Artist-Elsa Tambellini
Dancer-Lorraine Boyd
Poet-Calvin C. Hernton
Bass-Cecil McBee
Composer-Carlos d’Alessio

",The Bridge Theater,,2015-12-02,BLACK 2,Performances,06/21/1965,"lumagrams, bass, poetry, dance","Black 2 was an attempt to enrich the theatrical experience with the impact of other fields of art.  It is the study of Sound, Light, and Motion.  This performance is believed to be the first attempt to combine the visual arts, dance, music, projections, poetry and various sounds, to affect and involve the audience’s total senses….and sense of social commitment.
	Black 2 is an abstract concept of a social message.  It is not a play, It is not a “Happening”.  It is the fusion of different arts.  It is the bombardment of the senses. I describe it as a “Centerfuge:  
The dimensions of sound, light and motion brought into organic form; the working together of several talents express  the idiom of the contemporary scene; the fusion of abstract and social commitment.
	Black 2 brings together several modalities:  film and projectors, live sound, tape recorders, a dancer, a social poet, a musician, black spaces, live machines, mike techniques a lantern and “lumagrams.”  Lumagrams are what I called my hand painted slides which are used as projected images.
     A.T Performance notes, 1965",,Electromedia,,,,,,,,,
31,AT.E.0011,Aldo foundation,"Artist-Aldo Tambellini
	Artist-Benn Morea
	Artist-Elsa Tambellini
Dancer-Lorraine Boyd
Poet-Calvin C. Hernton
Bass-Cecil McBee
Composer-Carlos d’Alessio

",The Bridge Theater,,2015-12-02,BLACK 2,Performances,06/18/1965,"lumagrams, bass, poetry, dance","Black 2 was an attempt to enrich the theatrical experience with the impact of other fields of art.  It is the study of Sound, Light, and Motion.  This performance is believed to be the first attempt to combine the visual arts, dance, music, projections, poetry and various sounds, to affect and involve the audience’s total senses….and sense of social commitment.
	Black 2 is an abstract concept of a social message.  It is not a play, It is not a “Happening”.  It is the fusion of different arts.  It is the bombardment of the senses. I describe it as a “Centerfuge:  
The dimensions of sound, light and motion brought into organic form; the working together of several talents express  the idiom of the contemporary scene; the fusion of abstract and social commitment.
	Black 2 brings together several modalities:  film and projectors, live sound, tape recorders, a dancer, a social poet, a musician, black spaces, live machines, mike techniques a lantern and “lumagrams.”  Lumagrams are what I called my hand painted slides which are used as projected images.
     A.T Performance notes, 1965",,Electromedia,,,,,,,,,
32,AT.E.0012,Aldo foundation,,The Bridge Theater,,2015-12-02,BLACK 2,Performance,06/07/1965,,,,Electromedia,,,,,"Untitled.pdf
size:376,514
JPEG:Untitled_43.jpg",,,,
33,AT.E.0013,Aldo foundation,"“Tambellini is not only a rebel but he is a leader of rebels…..Lumagrams reminiscent of sidereal space…noises like a buzz saw gone beserk and a machine gun…but to counterbalance the stridency there was a beautiful flowing of motion and sound in the dancing and music…”
					Don Ross, New York Herald Tribune, 6/13/1965",The Bridge Theater,,2015-12-02,BLACK 2,Perfornance,06/13/1965,,"Rebellion in Art Form-Tambellini's ""Black 2"" Don Ross, New York Tribune 06/13/1965",,,,,,,"Untitled.pdf
size:995,726
JPEG:Untitled_44.jpg",,,,
34,AT.E.0015,Aldo foundation,"Artist-Aldo Tambellini
Artist-Ben Morea-sound and objects
Artist-Ron Hahne-masks
Artist-Elsa Tambellini
Dancer-Judith Dunn
Dancer-Al Kurchin
","Black Round, Washington Square Park Fountain, NYC",,2015-12-02,BLACK ROUND,Performance,09/25/1965,"Light, Sound, Masks, Dance","A kinetic ritual of: gas masked robots, 20th Century ‘Icons”; flashing Lumagrams (hand painted projections by Aldo Tambellini) of outer space imagery; floating images from the natural world; dissonant sounds from our mechanized environment.  Organized by Group Center.",,Electromedia,,,,,"Untitled.pdf
size:828,483
JPEG:Untitled_45.jpg","Untitled.pdf
size:433,268
JPEG:Untitled_46.jpg",,,
35,AT.E.0016,Anna,Gifted to Anna,"Black Round, Washington Square Park Fountain, NYC",,2015-12-02,BLACK ROUND,Performance,09/30/1965,,,,Electromedia,,,,,"Untitled.pdf
size:828,483
JPEG:Untitled_48.jpg",,,,
36,AT.E.0017,Aldo foundation,,"New York, NY",,2015-12-02,Telegram,,,Telegram-Lindsey,,,Electromedia,,,,,"Untitled.pdf
size:433,268
JPEG:Untitled_47.jpg",,,,
